"fov","cell_ID","Area","AspectRatio","CenterX_local_px","CenterY_local_px","CenterX_global_px","CenterY_global_px","Width","Height","Mean.PanCK","Max.PanCK","Mean.CD68","Max.CD68","Mean.MembraneStain_B2M","Max.MembraneStain_B2M","Mean.CD45","Max.CD45","Mean.DAPI","Max.DAPI"
32,147,9657,1.02,775,3912,151850.817108155,-38574.1113230387,116,114,3024,13376,95,663,1111,4007,76,1482,1422,3753
32,148,18869,1.52,1647,3894,152722.817108155,-38592.1113230387,215,141,3819,19089,52,498,1473,11975,53,1440,686,3295
32,149,8413,1.51,3875,3919,154950.817108155,-38567.1113230387,130,86,3275,17317,45,351,1213,3802,68,1171,907,3217
32,150,9978,0.89,2053,3895,153128.817108155,-38591.1113230387,116,130,2097,12128,53,4711,861,4359,68,5683,938,2891
32,151,4545,1.98,400,3914,151475.817108155,-38572.1113230387,105,53,2493,12007,390,7427,1191,5370,42,493,759,2151
32,152,5429,1.36,999,3886,152074.817108155,-38600.1113230387,114,84,3287,16290,51,576,563,2052,52,623,2156,4362
32,153,4410,0.94,1146,3884,152221.817108155,-38602.1113230387,103,110,1644,9370,85,4410,496,5323,100,6224,1303,3406
32,154,12477,1.33,1958,3861,153033.817108155,-38625.1113230387,196,147,3887,16938,69,5520,2940,54641,98,7425,877,3469
32,155,7062,0.88,4141,3861,155216.817108155,-38625.1113230387,105,120,232,1469,43,488,2266,6907,216,1603,943,4337
32,156,5413,1.93,2526,3895,153601.817108155,-38591.1113230387,118,61,4987,15924,60,4850,1810,21144,110,7828,1197,3441
32,157,6947,1.33,259,3871,151334.817108155,-38615.1113230387,114,86,3353,14138,283,5466,708,4606,85,4953,447,1768
32,158,6001,1.17,1191,3876,152266.817108155,-38610.1113230387,118,101,2602,11285,85,4711,1377,8929,91,5548,859,2455
32,159,6059,1.66,3949,3882,155024.817108155,-38604.1113230387,123,74,2125,10338,52,346,931,3359,77,1037,1608,4232
32,160,9510,1.32,69,3868,151144.817108155,-38618.1113230387,140,106,5488,27524,175,2328,1291,6839,83,1632,1383,3733
32,161,6233,1.07,1391,3866,152466.817108155,-38620.1113230387,104,97,2009,15604,40,540,721,2440,41,840,1385,2851
32,162,8493,1.65,580,3870,151655.817108155,-38616.1113230387,137,83,2423,12477,43,415,789,3160,33,576,429,1710
32,163,10839,1.02,1873,3834,152948.817108155,-38652.1113230387,132,129,5761,26867,64,834,4721,21898,199,2359,1402,4384
32,164,6567,1.51,3743,3862,154818.817108155,-38624.1113230387,115,76,2047,13060,39,4176,1864,20112,67,7442,704,2338
32,165,7024,0.88,3346,3847,154421.817108155,-38639.1113230387,96,109,3255,16400,37,256,1103,3008,74,740,1523,3801
32,166,6017,1.39,2399,3856,153474.817108155,-38630.1113230387,117,84,3414,15940,64,439,2751,30837,64,892,407,1450
32,167,15382,1.34,419,3829,151494.817108155,-38657.1113230387,175,131,3452,23524,130,4784,1041,5413,78,2849,1158,3947
32,168,8028,1.3,1295,3841,152370.817108155,-38645.1113230387,121,93,2546,12925,70,758,1590,8349,54,1133,1119,3775
32,169,9275,1.05,2651,3825,153726.817108155,-38661.1113230387,138,131,5600,24841,81,3684,1953,9529,60,5969,1465,4944
32,170,5457,0.97,1025,3836,152100.817108155,-38650.1113230387,95,98,3103,11805,73,555,744,6097,66,462,1900,3720
32,171,4745,1.09,1454,3845,152529.817108155,-38641.1113230387,95,87,2381,10769,42,490,1141,3618,42,467,1114,2532
32,172,9567,1.26,2124,3835,153199.817108155,-38651.1113230387,125,99,5712,21049,85,5751,2054,10128,84,5452,1236,4814
32,173,12649,1.48,2534,3829,153609.817108155,-38657.1113230387,170,115,4389,18025,76,4998,1897,12472,89,7038,788,3184
