cell_id	label	lab_color
f16_c339	BC cells	orangered1
f16_c340	BC cells	orangered1
f16_c341	BC cells	orangered1
f16_c342	BC cells	orangered1
f16_c343	BC cells	orangered1
f16_c344	BC cells	orangered1
f16_c345	BC cells	orangered1
f16_c346	BC cells	orangered1
f16_c347	BC cells	orangered1
f16_c348	BC cells	orangered1
f16_c349	BC cells	orangered1
f16_c350	BC cells	orangered1
f16_c351	BC cells	orangered1
f16_c352	BC cells	orangered1
f16_c353	BC cells	orangered1
f16_c354	BC cells	orangered1
f16_c355	BC cells	orangered1
f16_c356	BC cells	orangered1
f16_c357	BC cells	orangered1
f16_c358	BC cells	orangered1
f16_c359	BC cells	orangered1
f16_c360	BC cells	orangered1
f16_c361	BC cells	orangered1
f16_c362	BC cells	orangered1
f16_c363	BC cells	orangered1
f16_c364	BC cells	orangered1
f16_c365	BC cells	orangered1
f16_c366	Mix BC cells TAMs	purple
f16_c367	BC cells	orangered1
f16_c368	BC cells	orangered1
f16_c369	BC cells	orangered1
f16_c370	BC cells	orangered1
f16_c371	BC cells	orangered1
f16_c372	BC cells	orangered1
f16_c373	BC cells	orangered1
f16_c374	BC cells	orangered1
f16_c375	BC cells	orangered1
f16_c376	BC cells	orangered1
f16_c377	BC cells	orangered1
f16_c378	BC cells	orangered1
f16_c379	BC cells	orangered1
f16_c380	BC cells	orangered1
f16_c381	BC cells	orangered1
f16_c382	BC cells	orangered1
f16_c383	BC cells	orangered1
f16_c384	BC cells	orangered1
f16_c385	BC cells	orangered1
f16_c386	BC cells	orangered1
f16_c387	BC cells	orangered1
f16_c388	BC cells	orangered1
f16_c389	BC cells	orangered1
f16_c390	BC cells	orangered1
f16_c391	BC cells	orangered1
f16_c392	BC cells	orangered1
f16_c393	BC cells	orangered1
f16_c394	BC cells	orangered1
f16_c395	BC cells	orangered1
f16_c396	BC cells	orangered1
f16_c397	Mix BC cells TAMs	purple
f16_c398	BC cells	orangered1
f16_c399	BC cells	orangered1
f16_c400	BC cells	orangered1
f16_c401	BC cells	orangered1
f16_c402	BC cells	orangered1
f16_c403	BC cells	orangered1
f16_c404	BC cells	orangered1
f16_c405	BC cells	orangered1
f16_c406	BC cells	orangered1
f16_c407	BC cells	orangered1
f16_c408	BC cells	orangered1
f16_c409	BC cells	orangered1
f16_c410	BC cells	orangered1
f16_c411	BC cells	orangered1
f16_c412	BC cells	orangered1
f16_c413	BC cells	orangered1
f16_c414	BC cells	orangered1
f16_c415	BC cells	orangered1
f16_c416	BC cells	orangered1
f16_c417	BC cells	orangered1
f16_c418	BC cells	orangered1
f16_c419	BC cells	orangered1
f16_c420	BC cells	orangered1
f16_c421	BC cells	orangered1
f16_c422	BC cells	orangered1
f16_c423	BC cells	orangered1
f16_c424	BC cells	orangered1
f16_c425	BC cells	orangered1
f16_c426	BC cells	orangered1
f16_c427	BC cells	orangered1
f16_c428	BC cells	orangered1
f16_c429	BC cells	orangered1
f16_c430	BC cells	orangered1
f16_c431	BC cells	orangered1
f16_c432	BC cells	orangered1
f16_c433	Mix BC cells TAMs	purple
f16_c434	BC cells	orangered1
f16_c435	BC cells	orangered1
f16_c436	BC cells	orangered1
f16_c437	BC cells	orangered1
f16_c438	BC cells	orangered1
f16_c439	BC cells	orangered1
f16_c440	BC cells	orangered1
f16_c441	BC cells	orangered1
f16_c442	BC cells	orangered1
f16_c443	BC cells	orangered1
f16_c444	BC cells	orangered1
f16_c445	BC cells	orangered1
f16_c446	BC cells	orangered1
f16_c447	BC cells	orangered1
f16_c448	BC cells	orangered1
f16_c449	BC cells	orangered1
f16_c450	BC cells	orangered1
f16_c451	BC cells	orangered1
f16_c452	BC cells	orangered1
f16_c453	BC cells	orangered1
f16_c454	BC cells	orangered1
f16_c455	BC cells	orangered1
f16_c456	BC cells	orangered1
f16_c457	BC cells	orangered1
f16_c458	BC cells	orangered1
f16_c459	BC cells	orangered1
f16_c460	BC cells	orangered1
f16_c461	BC cells	orangered1
f16_c462	BC cells	orangered1
f16_c463	BC cells	orangered1
f16_c464	BC cells	orangered1
f16_c465	BC cells	orangered1
f16_c466	BC cells	orangered1
f16_c467	BC cells	orangered1
f16_c468	BC cells	orangered1
f16_c469	BC cells	orangered1
f16_c470	BC cells	orangered1
f16_c471	BC cells	orangered1
f16_c472	BC cells	orangered1
f16_c473	BC cells	orangered1
f16_c474	BC cells	orangered1
f16_c475	BC cells	orangered1
f16_c476	BC cells	orangered1
f16_c477	BC cells	orangered1
f16_c478	BC cells	orangered1
f16_c479	BC cells	orangered1
f16_c480	BC cells	orangered1
f16_c481	BC cells	orangered1
f16_c482	BC cells	orangered1
f16_c483	BC cells	orangered1
f16_c484	BC cells	orangered1
f16_c485	BC cells	orangered1
f16_c486	BC cells	orangered1
f16_c487	BC cells	orangered1
f16_c488	BC cells	orangered1
f16_c489	BC cells	orangered1
f16_c490	BC cells	orangered1
f16_c491	BC cells	orangered1
f16_c492	BC cells	orangered1
f16_c493	BC cells	orangered1
f16_c494	BC cells	orangered1
f16_c495	BC cells	orangered1
f16_c496	BC cells	orangered1
f16_c497	BC cells	orangered1
f16_c498	BC cells	orangered1
f16_c499	BC cells	orangered1
f16_c500	BC cells	orangered1
f16_c501	BC cells	orangered1
f16_c502	BC cells	orangered1
f16_c503	BC cells	orangered1
