cell_id	label	lab_color
f344_c55	dropped	grey30
f344_c550	dropped	grey30
f344_c551	dropped	grey30
f344_c552	dropped	grey30
f344_c553	dropped	grey30
f344_c554	dropped	grey30
f344_c555	Proliferating.B.Cell	orchid
f344_c556	dropped	grey30
f344_c557	dropped	grey30
f344_c558	dropped	grey30
f344_c559	Proliferating.B.Cell	orchid
f344_c56	dropped	grey30
f344_c560	dropped	grey30
f344_c561	dropped	grey30
f344_c562	Proliferating.B.Cell	orchid
f344_c563	Proliferating.B.Cell	orchid
f344_c564	dropped	grey30
f344_c565	dropped	grey30
f344_c566	dropped	grey30
f344_c567	dropped	grey30
f344_c568	dropped	grey30
f344_c569	dropped	grey30
f344_c57	Proliferating.B.Cell	orchid
f344_c570	dropped	grey30
f344_c571	Proliferating.B.Cell	orchid
f344_c572	Proliferating.B.Cell	orchid
f344_c573	dropped	grey30
f344_c574	dropped	grey30
f344_c575	Proliferating.B.Cell	orchid
f344_c576	Proliferating.B.Cell	orchid
f344_c577	dropped	grey30
f344_c578	dropped	grey30
f344_c579	dropped	grey30
f344_c58	Mesenchymal	lightgoldenrod1
f344_c580	Proliferating.B.Cell	orchid
f344_c581	dropped	grey30
f344_c582	dropped	grey30
f344_c583	dropped	grey30
f344_c584	dropped	grey30
f344_c585	dropped	grey30
f344_c586	dropped	grey30
f344_c587	dropped	grey30
f344_c588	dropped	grey30
f344_c589	dropped	grey30
f344_c59	dropped	grey30
f344_c590	dropped	grey30
f344_c591	dropped	grey30
f344_c592	Tfh	#134502
f344_c593	dropped	grey30
f344_c594	dropped	grey30
f344_c595	dropped	grey30
f344_c596	dropped	grey30
f344_c597	dropped	grey30
f344_c598	dropped	grey30
f344_c599	Proliferating.B.Cell	orchid
f344_c6	dropped	grey30
f344_c60	dropped	grey30
f344_c600	dropped	grey30
f344_c601	dropped	grey30
f344_c602	dropped	grey30
f344_c603	Proliferating.B.Cell	orchid
f344_c604	Proliferating.B.Cell	orchid
f344_c605	dropped	grey30
f344_c606	Proliferating.B.Cell	orchid
f344_c607	dropped	grey30
f344_c608	dropped	grey30
f344_c609	dropped	grey30
f344_c61	Proliferating.B.Cell	orchid
f344_c610	dropped	grey30
f344_c611	dropped	grey30
f344_c612	dropped	grey30
f344_c613	dropped	grey30
f344_c614	dropped	grey30
f344_c615	Proliferating.B.Cell	orchid
f344_c616	Proliferating.B.Cell	orchid
f344_c617	dropped	grey30
f344_c618	dropped	grey30
f344_c619	dropped	grey30
f344_c62	dropped	grey30
f344_c620	dropped	grey30
f344_c621	dropped	grey30
f344_c622	dropped	grey30
f344_c623	dropped	grey30
f344_c624	dropped	grey30
f344_c625	dropped	grey30
f344_c626	dropped	grey30
f344_c627	dropped	grey30
f344_c628	dropped	grey30
f344_c629	dropped	grey30
f344_c63	dropped	grey30
f344_c630	Tfh	#134502
f344_c631	dropped	grey30
f344_c632	dropped	grey30
f344_c633	dropped	grey30
f344_c634	dropped	grey30
f344_c635	dropped	grey30
f344_c636	dropped	grey30
f344_c637	Proliferating.B.Cell	orchid
f344_c638	Proliferating.B.Cell	orchid
f344_c639	dropped	grey30
f344_c64	dropped	grey30
f344_c640	Proliferating.B.Cell	orchid
f344_c641	dropped	grey30
f344_c642	dropped	grey30
f344_c643	dropped	grey30
f344_c644	dropped	grey30
f344_c645	dropped	grey30
f344_c646	Proliferating.B.Cell	orchid
f344_c647	dropped	grey30
f344_c648	dropped	grey30
f344_c649	dropped	grey30
f344_c65	dropped	grey30
f344_c650	dropped	grey30
f344_c651	dropped	grey30
f344_c652	dropped	grey30
f344_c653	dropped	grey30
